"dist_exit","dist_monst","drop_bomb","dist_bomb","manhat_exit","diff_l_r_walls","diff_b_u_walls","cos_sim"
30,15,1,50,30,1,1,15

30.0537391025641,15.0,1.0,50.0,30.004133777120316,1.0134347756410256,1.0358260683760683,14.892521794871795

30.107535725660064,15.0,1.0,50.0,30.008437506967994,1.0313669833396797,1.0716904837733763,14.784928548679872

30.161865353756394,15.0,1.0,50.0,30.012964975976022,1.0585317973878443,1.1079102358375958,14.676269292487213

30.214818196888306,15.0,1.0,50.0,30.017569571030972,1.111484640519758,1.1432121312588717,14.570363606223385

30.2665579475154,15.0,1.0,50.0,30.022273184724344,1.1632243911468516,1.1777052983436007,14.466884104969198

30.320778349115574,15.0,1.0,50.0,30.03001895638151,1.2038896923469846,1.231925699943778,14.304222900168666

30.370310081446682,15.0,1.0,50.0,30.037839756223264,1.2286555585125378,1.3805208969370972,14.155627703175346

30.32969681715199,15.0,1.0,50.0,30.035450740676517,1.2235789004757012,1.3669831421721996,14.19624096747004

30.572835146092075,15.0,1.0,50.243138328940084,30.04895842561763,1.253971191593212,1.610121471112285,13.953102638529954

30.33355012251435,15.0,1.0,49.76456828178463,30.036994174438746,1.214090354330258,1.5303597965863769,14.192387662107679

30.384818585367608,15.0,1.0,49.76456828178463,30.04212102072407,1.239724585756887,1.6328967222928934,14.089850736401162

30.43331868156439,15.0,1.0,49.76456828178463,30.04977893064988,1.2639746338552782,1.7783970108832405,13.944350447810816

30.495002791908146,15.0,1.0,49.76456828178463,30.057035884807966,1.279395661441217,1.8195197511124106,13.820982227123306

30.53575981128118,15.0,1.0,49.76456828178463,30.062130512229597,1.3609097001872854,1.901033789858479,13.739468188377238

30.587053712831686,15.0,1.0,49.76456828178463,30.068969699102997,1.373733175574912,1.9352297242254832,13.636880385276225

30.639083145898706,15.0,1.0,49.76456828178463,30.076402475255428,1.3867405338416667,1.9560414974522908,13.532821519142187

30.60074522511467,15.0,1.0,49.76456828178463,30.073453404425887,1.3819482937436625,1.9505646516260002,13.571159439926221

30.846820741128926,15.0,1.0,50.01064379779889,30.089858438826838,1.4229608797460385,2.1966401676402563,13.325083923911965

30.994914775528738,15.0,1.0,50.306831866598515,30.099114315976827,1.459984388345991,2.344734202040067,13.176989889512154

31.04372152469481,15.0,1.0,50.306831866598515,30.10485628646695,1.5087911375120617,2.4423477003722085,13.079376391180013

31.09366420159598,15.0,1.0,50.306831866598515,30.111099121079597,1.5337624759626476,2.5422330541745515,12.97949103737767

30.920332611716233,11.880031382164514,1.0,50.306831866598515,30.087988242428963,1.4759852793360646,2.195569874415053,12.632827857618171

30.791455991935752,9.818005465676837,1.0,50.306831866598515,30.0708046931249,1.4330264060759046,1.9378166348540935,12.375074618057212

30.740989187281507,8.606802153974984,1.0,50.306831866598515,30.059990377841846,1.4077930037487827,1.8873498301998497,12.22367420409448

30.713078392089212,8.271872611667442,1.0,50.306831866598515,30.05533857864313,1.3519714133641922,1.8761855121229316,12.184202378996918

30.710473995807,8.245828648845317,1.0,50.306831866598515,30.054865052046363,1.3513203142936392,1.8754413988994423,12.184202378996918

30.74294383257316,8.63546669003923,1.0,50.306831866598515,30.061359019399596,1.359437773485179,1.882656918180811,12.138283095474176

